POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Tim	Hellwig	GER	1999	10	00:08:29	00:00:39	00:29:04	00:00:24	00:14:34	00:53:08
2	Paul	Georgenthum	FRA	2000	37	00:09:00	00:00:36	00:28:35	00:00:24	00:14:34	00:53:08
3	Léo	Bergere	FRA	1996	1	00:08:42	00:00:36	00:28:52	00:00:22	00:14:38	00:53:09
4	Lasse Nygaard	Priester	GER	1995	32	00:08:53	00:00:37	00:28:44	00:00:24	00:14:33	00:53:09
5	Antonio	Serrat Seoane	ESP	1995	2	00:08:46	00:00:39	00:28:53	00:00:21	00:14:35	00:53:12
6	Tom	Richard	FRA	1993	14	00:08:45	00:00:42	00:28:49	00:00:24	00:14:37	00:53:14
7	Charles	Paquet	CAN	1997	31	00:08:57	00:00:41	00:28:35	00:00:24	00:14:42	00:53:17
8	Vetle Bergsvik	Thorn	NOR	1999	35	00:08:54	00:00:42	00:28:37	00:00:24	00:14:47	00:53:22
9	Erwin	Vanderplancke	BEL	1995	30	00:08:58	00:00:41	00:28:39	00:00:23	00:14:45	00:53:24
10	Emil	Holm	DEN	1996	48	00:08:57	00:00:39	00:28:35	00:00:21	00:14:54	00:53:25
11	Marcel	Walkington	AUS	1993	40	00:08:53	00:00:38	00:28:45	00:00:23	00:14:49	00:53:27
12	Gabriel	Sandör	SWE	1996	28	00:08:52	00:00:42	00:28:39	00:00:25	00:14:56	00:53:32
13	Lasse	Lührs	GER	1996	20	00:08:45	00:00:38	00:28:49	00:00:23	00:15:06	00:53:39
14	Brandon	Copeland	AUS	1996	6	00:08:49	00:00:35	00:28:54	00:00:24	00:14:59	00:53:39
15	Jonas	Breinlinger	GER	1994	21	00:08:48	00:00:41	00:28:45	00:00:28	00:15:00	00:53:40
16	Sylvain	Fridelance	SUI	1995	4	00:08:41	00:00:37	00:28:54	00:00:25	00:15:08	00:53:43
17	Noah	Servais	BEL	1997	15	00:08:46	00:00:36	00:28:52	00:00:22	00:15:12	00:53:46
18	Gordon	Benson	GBR	1994	33	00:08:50	00:00:38	00:28:46	00:00:23	00:15:13	00:53:48
19	Márk	Dévay	HUN	1996	8	00:08:28	00:00:42	00:29:03	00:00:23	00:15:16	00:53:49
20	Takumi	Hojo	JPN	1996	5	00:08:27	00:00:42	00:29:07	00:00:25	00:15:12	00:53:51
21	Radim	Grebík	CZE	2001	24	00:08:59	00:00:41	00:00:00	00:00:00	00:00:00	00:53:53
22	Alois	Knabl	AUT	1992	19	00:08:44	00:00:39	00:28:53	00:00:27	00:15:13	00:53:54
23	Leon	Pauger	AUT	1998	42	00:08:58	00:00:42	00:28:30	00:00:25	00:15:21	00:53:55
24	Simon	Henseleit	GER	2000	39	00:08:53	00:00:40	00:28:40	00:00:24	00:15:24	00:53:59
25	Saxon	Morgan	NZL	2000	23	00:08:47	00:00:38	00:28:52	00:00:27	00:15:22	00:54:04
26	Jonas	Schomburg	GER	1994	3	00:08:29	00:00:39	00:29:07	00:00:24	00:15:28	00:54:06
27	Valentin	Wernz	GER	1995	9	00:08:47	00:00:35	00:28:53	00:00:22	00:15:36	00:54:11
28	Casper	Stornes	NOR	1997	7	00:08:59	00:00:44	00:29:13	00:00:29	00:14:51	00:54:14
