POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Laura	Lindemann	GER	1996	1	00:09:15	00:00:39	00:31:44	00:00:25	00:16:16	00:58:17
2	Nicole	Van Der Kaay	NZL	1996	8	00:09:28	00:00:42	00:31:31	00:00:24	00:16:19	00:58:21
3	Summer	Rappaport	USA	1991	3	00:09:12	00:00:47	00:31:43	00:00:25	00:16:20	00:58:26
4	Zsanett	Kuttor-Bragmayer	HUN	1994	15	00:09:28	00:00:40	00:31:32	00:00:23	00:16:32	00:58:34
5	Sian	Rainsley	GBR	1997	7	00:09:20	00:00:44	00:31:34	00:00:27	00:16:33	00:58:36
6	Marlene	Gomez-Göggel	GER	1993	11	00:09:26	00:00:47	00:31:25	00:00:25	00:16:36	00:58:37
7	Kirsten	Kasper	USA	1991	4	00:09:19	00:00:40	00:31:36	00:00:26	00:16:41	00:58:41
8	Alice	Betto	ITA	1987	2	00:09:24	00:00:48	00:31:28	00:00:25	00:16:40	00:58:43
9	Kate	Waugh	GBR	1999	41	00:09:29	00:00:42	00:31:26	00:00:27	00:16:43	00:58:46
10	Erika	Ackerlund	USA	1996	22	00:09:22	00:00:44	00:31:34	00:00:25	00:16:44	00:58:48
11	Anabel	Knoll	GER	1996	9	00:09:24	00:00:43	00:31:30	00:00:23	00:16:55	00:58:53
12	Olivia	Mathias	GBR	1998	21	00:09:13	00:00:40	00:31:44	00:00:24	00:16:57	00:58:57
13	Verena	Steinhauser	ITA	1994	6	00:09:26	00:00:45	00:31:27	00:00:25	00:16:56	00:58:57
14	Alberte	Kjær Pedersen	DEN	1998	33	00:09:52	00:00:38	00:31:50	00:00:23	00:16:19	00:59:00
15	Natalie	Van Coevorden	AUS	1992	5	00:09:20	00:00:45	00:31:34	00:00:28	00:16:57	00:59:01
16	Nina	Eim	GER	1998	18	00:09:37	00:00:45	00:31:58	00:00:31	00:16:20	00:59:09
17	Lisa	Tertsch	GER	1998	30	00:09:57	00:00:39	00:31:44	00:00:25	00:16:26	00:59:10
18	Ainsley	Thorpe	NZL	1998	24	00:09:27	00:00:43	00:31:29	00:00:24	00:17:14	00:59:15
19	Lena	Meißner	GER	1998	31	00:09:23	00:00:43	00:31:33	00:00:26	00:17:21	00:59:23
20	Annika	Koch	GER	1999	32	00:09:51	00:00:40	00:31:49	00:00:27	00:16:46	00:59:30
21	Kyleigh	Spearing	USA	1998	44	00:09:28	00:00:41	00:31:31	00:00:26	00:17:36	00:59:40
22	Quinty	Schoens	NED	1999	34	00:09:50	00:00:40	00:31:49	00:00:25	00:17:00	00:59:43
23	Jolanda	Annen	SUI	1992	12	00:09:29	00:00:44	00:32:08	00:00:25	00:17:02	00:59:46
24	Vendula	Frintova	CZE	1983	17	00:09:36	00:00:50	00:31:56	00:00:30	00:16:58	00:59:47
25	Julia	Hauser	AUT	1994	10	00:09:38	00:00:44	00:31:59	00:00:28	00:17:06	00:59:54
26	Rani	Skrabanja	NED	1998	29	00:09:23	00:00:41	00:31:35	00:00:27	00:17:53	00:59:57
27	Jeanne	Lehair	FRA	1996	19	00:09:38	00:00:44	00:31:59	00:00:24	00:17:17	00:59:59
28	Kira	Hedgeland	AUS	1998	23	00:09:32	00:00:47	00:32:03	00:00:25	00:17:27	01:00:13
29	Emma	Jackson	AUS	1991	16	00:09:25	00:00:49	00:32:07	00:00:26	00:17:46	01:00:33
30	Ai	Ueda	JPN	1983	28	00:10:00	00:00:43	00:32:45	00:00:27	00:16:43	01:00:36
31	Barbara	De Koning	NED	2002	48	00:09:28	00:00:45	00:32:13	00:00:24	00:17:51	01:00:38
32	Charlotte	McShane	AUS	1990	25	00:09:55	00:00:43	00:32:49	00:00:29	00:16:53	01:00:47
33	Paulina	Klimas	POL	1995	42	00:09:53	00:00:43	00:32:50	00:00:27	00:16:59	01:00:51
34	Roksana	Slupek	POL	1999	40	00:09:59	00:00:42	00:32:46	00:00:28	00:17:03	01:00:56
35	Emy	Legault	CAN	1996	38	00:10:02	00:00:39	00:32:51	00:00:24	00:17:17	01:01:10
36	Jolien	Vermeylen	BEL	1994	47	00:09:36	00:00:41	00:33:14	00:00:25	00:17:20	01:01:13
37	Dominika	Jamnicky	CAN	1992	36	00:10:02	00:00:40	00:32:45	00:00:25	00:17:25	01:01:15
38	Shanae	Williams	RSA	1998	43	00:09:55	00:00:43	00:32:54	00:00:26	00:17:28	01:01:23
39	Nora	Gmür	SUI	2001	46	00:10:01	00:00:48	00:33:21	00:00:23	00:17:23	01:01:55
40	Zuzana	Michalickova	SVK	2002	49	00:09:41	00:00:41	00:33:07	00:00:24	00:18:06	01:01:57
41	Alicja	Ulatowska	POL	1996	37	00:09:57	00:00:45	00:32:44	00:00:32	00:18:07	01:02:03
42	Alzbeta	Hruskova	CZE	2000	26	00:09:48	00:00:40	00:31:54	00:00:25	00:19:17	01:02:03
43	Hanne	De Vet	BEL	1998	27	00:09:59	00:00:45	00:32:43	00:00:27	00:18:29	01:02:20
44	Julia	Sanecka	POL	2001	50	00:10:01	00:00:38	00:32:48	00:00:27	00:18:29	01:02:22
45	Stine	Dale	NOR	1998	45	00:10:03	00:00:48	00:33:21	00:00:30	00:18:50	01:03:29
46	Aoi	Kuramoto	JPN	1988	35	00:09:53	00:00:42	00:35:51	00:00:35	00:18:38	01:05:36
