POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Flora	Duffy	BER	1987	3	00:09:41	00:00:37	00:31:34	00:00:29	00:16:17	00:58:37
2	Beth	Potter	GBR	1991	1	00:09:51	00:00:35	00:31:29	00:00:25	00:16:25	00:58:43
3	Lisa	Tertsch	GER	1998	21	00:09:45	00:00:35	00:31:34	00:00:24	00:16:38	00:58:53
4	Taylor	Spivey	USA	1991	2	00:09:41	00:00:37	00:31:36	00:00:24	00:16:42	00:58:58
5	Laura	Lindemann	GER	1996	5	00:09:45	00:00:37	00:31:31	00:00:24	00:16:45	00:59:00
6	Anabel	Knoll	GER	1996	6	00:09:44	00:00:35	00:31:33	00:00:25	00:16:48	00:59:03
7	Maya	Kingma	NED	1995	14	00:09:48	00:00:39	00:31:23	00:00:22	00:16:56	00:59:06
8	Sian	Rainsley	GBR	1997	7	00:09:39	00:00:36	00:31:40	00:00:24	00:16:51	00:59:08
9	Nina	Eim	GER	1998	31	00:10:14	00:00:35	00:31:38	00:00:24	00:16:20	00:59:09
10	Emy	Legault	CAN	1996	20	00:09:55	00:00:33	00:31:28	00:00:24	00:16:53	00:59:11
11	Zsanett	Kuttor-Bragmayer	HUN	1994	18	00:09:42	00:00:38	00:31:36	00:00:20	00:17:01	00:59:15
12	Kate	Waugh	GBR	1999	23	00:09:49	00:00:35	00:31:28	00:00:26	00:17:07	00:59:23
13	Julie	Derron	SUI	1996	28	00:10:13	00:00:38	00:31:36	00:00:26	00:16:35	00:59:26
14	Erika	Ackerlund	USA	1996	10	00:09:51	00:00:35	00:31:28	00:00:23	00:17:12	00:59:27
15	Rachel	Klamer	NED	1990	11	00:10:13	00:00:41	00:31:36	00:00:25	00:16:44	00:59:36
16	Lea	Coninx	FRA	1998	32	00:10:05	00:00:34	00:31:53	00:00:22	00:16:46	00:59:39
17	Alberte	Kjær Pedersen	DEN	1998	9	00:10:13	00:00:36	00:31:39	00:00:26	00:16:50	00:59:43
18	Cathia	Schär	SUI	2001	34	00:10:25	00:00:36	00:31:26	00:00:21	00:16:58	00:59:44
19	Marlene	Gomez-Göggel	GER	1993	12	00:10:15	00:00:36	00:31:37	00:00:24	00:16:54	00:59:45
20	Sophie	Linn	AUS	1995	43	00:10:14	00:00:37	00:31:36	00:00:26	00:16:54	00:59:45
21	Vittoria	Lopes	BRA	1996	39	00:09:37	00:00:36	00:31:41	00:00:24	00:17:33	00:59:48
22	Andrea	Hansen	NZL	1982	55	00:10:14	00:00:41	00:31:35	00:00:25	00:16:56	00:59:50
23	Jaz	Hedgeland	AUS	1995	26	00:10:00	00:00:36	00:31:50	00:00:26	00:16:59	00:59:50
24	Carlotta	Missaglia	ITA	1999	46	00:10:24	00:00:33	00:31:30	00:00:24	00:17:04	00:59:53
25	Edda	Hannesdottir	ISL	1994	57	00:10:14	00:00:38	00:31:38	00:00:25	00:17:03	00:59:55
26	Summer	Rappaport	USA	1991	4	00:09:35	00:00:38	00:32:22	00:00:26	00:16:58	00:59:57
27	Simone	Ackermann	RSA	1990	48	00:09:43	00:00:40	00:31:32	00:00:23	00:17:42	00:59:59
28	Annika	Koch	GER	1999	33	00:10:16	00:00:35	00:31:38	00:00:30	00:17:04	01:00:01
29	Djenyfer	Arnold	BRA	1993	16	00:10:05	00:00:36	00:31:47	00:00:26	00:17:10	01:00:03
30	Nicole	Van Der Kaay	NZL	1996	17	00:10:10	00:00:37	00:31:42	00:00:26	00:17:19	01:00:12
31	Lena	Meißner	GER	1998	35	00:09:45	00:00:35	00:31:31	00:00:23	00:17:59	01:00:12
32	Julia	Hauser	AUT	1994	22	00:10:25	00:00:35	00:31:32	00:00:25	00:17:26	01:00:21
33	Roksana	Slupek	POL	1999	42	00:10:09	00:00:38	00:31:44	00:00:26	00:17:27	01:00:22
34	Luisa	Iogna-Prat	ITA	1995	53	00:10:04	00:00:36	00:31:47	00:00:27	00:17:37	01:00:30
35	Charlotte	McShane	AUS	1990	30	00:09:47	00:00:36	00:32:08	00:00:25	00:17:42	01:00:35
36	Jolien	Vermeylen	BEL	1994	44	00:09:41	00:00:36	00:32:14	00:00:24	00:17:44	01:00:37
37	Melanie	Santos	POR	1995	25	00:10:13	00:00:37	00:31:42	00:00:28	00:17:41	01:00:40
38	Yuko	Takahashi	JPN	1991	27	00:10:03	00:00:41	00:31:44	00:00:23	00:17:54	01:00:43
39	Sinem Francisca	Tous Servera	TRI	1992	54	00:10:16	00:00:37	00:31:41	00:00:27	00:17:50	01:00:49
40	Ainsley	Thorpe	NZL	1998	29	00:10:15	00:00:37	00:31:37	00:00:24	00:18:04	01:00:55
41	Miyu	Sakai	JPN	1999	52	00:09:58	00:00:37	00:31:56	00:00:24	00:18:50	01:01:44
42	Petra	Kurikova	CZE	1991	37	00:10:14	00:00:41	00:33:49	00:00:25	00:16:58	01:02:05
43	Anne	Holm	DEN	1999	59	00:10:10	00:00:36	00:31:47	00:00:24	00:19:12	01:02:07
44	Luisa	Baptista	BRA	1994	47	00:10:07	00:00:37	00:33:53	00:00:24	00:17:36	01:02:35
45	Maria	Tomé	POR	2001	36	00:10:16	00:00:40	00:33:40	00:00:24	00:17:55	01:02:53
46	Emma	Lombardi	FRA	2001	19	00:10:22	00:00:39	00:34:14	00:00:25	00:17:20	01:02:59
47	Dominika	Jamnicky	CAN	1992	41	00:10:17	00:00:36	00:33:45	00:00:25	00:18:15	01:03:15
48	Miriam	Casillas García	ESP	1992	15	00:10:26	00:00:37	00:33:37	00:00:23	00:18:20	01:03:22
49	Hiraku	Fukuoka	JPN	1994	51	00:10:22	00:00:37	00:33:41	00:00:23	00:18:42	01:03:43
50	Yuka	Sato	JPN	1992	40	00:10:00	00:00:38	00:34:01	00:00:27	00:18:53	01:03:57
