POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Hayden	Wilde	NZL	1997	4	00:08:58	00:01:04	00:28:45	00:00:23	00:14:11	00:53:18
2	Léo	Bergere	FRA	1996	1	00:08:44	00:01:06	00:28:28	00:00:19	00:14:52	00:53:28
3	Lasse	Lührs	GER	1996	28	00:08:51	00:01:03	00:28:53	00:00:21	00:14:33	00:53:38
4	Vasco	Vilaca	POR	1999	7	00:08:53	00:01:04	00:28:48	00:00:22	00:14:33	00:53:38
5	Lasse Nygaard	Priester	GER	1995	6	00:08:57	00:01:04	00:28:46	00:00:20	00:14:37	00:53:42
6	Miguel	Hidalgo	BRA	2000	30	00:08:43	00:01:08	00:28:54	00:00:18	00:14:52	00:53:53
7	Richard	Murray	NED	1989	55	00:09:02	00:01:04	00:28:40	00:00:23	00:14:50	00:53:57
8	Jelle	Geens	BEL	1993	9	00:08:52	00:01:03	00:28:51	00:00:21	00:14:53	00:53:59
9	Antonio	Serrat Seoane	ESP	1995	2	00:08:57	00:01:09	00:28:39	00:00:21	00:14:56	00:54:00
10	Vincent	Luis	FRA	1989	11	00:08:43	00:01:03	00:28:29	00:00:31	00:15:16	00:54:01
11	Joao	Silva	POR	1989	47	00:08:58	00:01:01	00:28:49	00:00:21	00:14:55	00:54:03
12	Marten	Van Riel	BEL	1992	27	00:08:53	00:01:04	00:28:50	00:00:19	00:15:05	00:54:09
13	Pierre	Le Corre	FRA	1990	3	00:08:46	00:01:03	00:28:58	00:00:26	00:15:00	00:54:12
14	Michele	Sarzilla	ITA	1988	36	00:08:49	00:01:06	00:28:52	00:00:22	00:15:08	00:54:15
15	Csongor	Lehmann	HUN	1999	34	00:08:57	00:01:03	00:28:46	00:00:19	00:15:13	00:54:16
16	Matthew	McElroy	USA	1992	29	00:09:09	00:01:07	00:29:07	00:00:20	00:14:37	00:54:18
17	Sylvain	Fridelance	SUI	1995	32	00:08:56	00:01:05	00:28:48	00:00:22	00:15:13	00:54:21
18	Jonas	Schomburg	GER	1994	24	00:08:55	00:01:03	00:28:46	00:00:17	00:15:23	00:54:22
19	Kenji	Nener	JPN	1993	19	00:08:48	00:01:02	00:28:56	00:00:20	00:15:20	00:54:24
20	Tim	Hellwig	GER	1999	5	00:08:48	00:01:06	00:28:52	00:00:30	00:15:13	00:54:28
21	Jacob	Birtwhistle	AUS	1995	31	00:09:06	00:01:05	00:29:09	00:00:21	00:14:53	00:54:33
22	Ricardo	Batista	POR	2000	21	00:08:54	00:01:00	00:28:53	00:00:21	00:15:29	00:54:35
23	Jamie	Riddle	RSA	2000	46	00:08:45	00:01:05	00:28:56	00:00:23	00:15:29	00:54:35
24	Bence	Bicsák	HUN	1995	8	00:08:56	00:01:14	00:29:11	00:00:19	00:14:58	00:54:36
25	Noah	Servais	BEL	1997	33	00:09:01	00:01:02	00:28:44	00:00:20	00:15:31	00:54:37
26	Matthew	Hauser	AUS	1998	14	00:08:56	00:01:10	00:29:14	00:00:18	00:15:03	00:54:38
27	Márk	Dévay	HUN	1996	16	00:08:42	00:01:12	00:28:53	00:00:22	00:15:35	00:54:42
28	Jumpei	Furuya	JPN	1991	43	00:08:58	00:01:03	00:28:47	00:00:22	00:15:35	00:54:43
29	Tayler	Reid	NZL	1996	48	00:08:46	00:01:04	00:28:56	00:00:21	00:15:40	00:54:45
30	Takumi	Hojo	JPN	1996	12	00:08:58	00:01:09	00:29:15	00:00:20	00:15:06	00:54:46
31	Tom	Richard	FRA	1993	18	00:08:45	00:01:04	00:28:59	00:00:22	00:15:46	00:54:54
32	Brandon	Copeland	AUS	1996	22	00:08:54	00:01:07	00:29:20	00:00:19	00:15:22	00:55:00
33	Thomas	Bishop	GBR	1991	56	00:09:01	00:01:09	00:29:13	00:00:21	00:15:24	00:55:07
34	Aaron	Royle	AUS	1990	44	00:09:01	00:01:08	00:29:13	00:00:20	00:15:45	00:55:25
35	Vetle Bergsvik	Thorn	NOR	1999	15	00:09:06	00:01:03	00:29:13	00:00:23	00:15:46	00:55:30
36	Ren	Sato	JPN	1995	45	00:09:09	00:01:05	00:29:10	00:00:24	00:15:47	00:55:33
37	Jawad	Abdelmoula	MAR	1994	50	00:09:01	00:01:05	00:30:07	00:00:21	00:15:07	00:55:40
38	Alois	Knabl	AUT	1992	39	00:08:46	00:01:09	00:28:54	00:00:23	00:16:29	00:55:40
39	Roberto	Sanchez Mantecon	ESP	1996	20	00:09:08	00:01:10	00:29:52	00:00:18	00:15:25	00:55:51
40	Grant	Sheldon	GBR	1994	54	00:09:02	00:01:11	00:30:00	00:00:21	00:15:29	00:56:01
41	Gianluca	Pozzatti	ITA	1993	38	00:08:50	00:01:10	00:29:25	00:00:22	00:16:24	00:56:08
42	Seth	Rider	USA	1997	37	00:08:59	00:01:10	00:29:13	00:00:21	00:16:29	00:56:10
43	Makoto	Odakura	JPN	1993	23	00:09:03	00:01:10	00:30:00	00:00:25	00:15:43	00:56:19
44	Genis	Grau	ESP	1994	53	00:09:04	00:01:05	00:30:03	00:00:20	00:16:01	00:56:31
45	Gabriel	Sandör	SWE	1996	26	00:09:06	00:01:14	00:29:51	00:00:22	00:16:01	00:56:33
46	Luke	Willian	AUS	1996	41	00:09:05	00:01:13	00:29:54	00:00:21	00:16:26	00:56:55
47	Valentin	Wernz	GER	1995	35	00:08:50	00:01:03	00:30:20	00:00:21	00:16:56	00:57:28
48	Gustav	Iden	NOR	1996	52	00:09:09	00:01:11	00:31:04	00:00:26	00:16:23	00:58:11
DNF	Marc	Dubrick	USA	1994	57	00:09:06	00:01:08	00:00:00	00:00:00	00:00:00	DNF
DNF	Jonathan	Brownlee	GBR	1990	49	00:08:54	00:01:04	00:00:00	00:00:00	00:00:00	DNF
