POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Cassandre	Beaugrand	FRA	1997	18	00:09:09	00:01:11	00:32:13	00:00:22	00:16:10	00:59:03
2	Georgia	Taylor-Brown	GBR	1994	1	00:09:18	00:01:13	00:32:00	00:00:23	00:16:21	00:59:12
3	Sophie	Coldwell	GBR	1995	15	00:09:14	00:01:07	00:31:34	00:00:21	00:17:01	00:59:15
4	Taylor	Spivey	USA	1991	12	00:09:12	00:01:10	00:31:33	00:00:21	00:17:08	00:59:22
5	Beth	Potter	GBR	1991	10	00:09:19	00:01:10	00:32:04	00:00:21	00:16:29	00:59:22
6	Laura	Lindemann	GER	1996	8	00:09:15	00:01:09	00:32:08	00:00:22	00:16:47	00:59:39
7	Flora	Duffy	BER	1987	2	00:09:11	00:01:08	00:32:14	00:00:24	00:16:51	00:59:44
8	Anabel	Knoll	GER	1996	9	00:09:35	00:01:11	00:31:45	00:00:23	00:16:56	00:59:48
9	Julie	Derron	SUI	1996	42	00:09:47	00:01:09	00:31:37	00:00:26	00:17:03	00:59:59
10	Miriam	Casillas García	ESP	1992	24	00:09:45	00:01:06	00:31:44	00:00:22	00:17:05	00:59:59
11	Natalie	Van Coevorden	AUS	1992	16	00:09:18	00:01:14	00:32:02	00:00:23	00:17:06	01:00:02
12	Kirsten	Kasper	USA	1991	6	00:09:20	00:01:08	00:32:04	00:00:22	00:17:11	01:00:03
13	Verena	Steinhauser	ITA	1994	19	00:09:42	00:01:11	00:31:40	00:00:23	00:17:12	01:00:05
14	Rachel	Klamer	NED	1990	22	00:09:27	00:01:12	00:31:54	00:00:21	00:17:20	01:00:12
15	Sian	Rainsley	GBR	1997	4	00:09:14	00:01:15	00:32:06	00:00:21	00:17:21	01:00:16
16	Ilaria	Zane	ITA	1992	49	00:09:37	00:01:09	00:31:50	00:00:22	00:17:26	01:00:21
17	Petra	Kurikova	CZE	1991	56	00:09:22	00:01:10	00:32:20	00:00:23	00:17:15	01:00:28
18	Maya	Kingma	NED	1995	17	00:09:20	00:01:13	00:31:58	00:00:20	00:17:46	01:00:35
19	Lotte	Miller	NOR	1996	54	00:09:34	00:01:23	00:31:34	00:00:24	00:17:49	01:00:41
20	Melanie	Santos	POR	1995	36	00:09:22	00:01:07	00:32:05	00:00:22	00:17:54	01:00:48
21	Lisa	Tertsch	GER	1998	25	00:09:36	00:01:08	00:32:41	00:00:21	00:17:13	01:00:57
22	Audrey	Merle	FRA	1995	27	00:09:35	00:01:12	00:32:45	00:00:22	00:17:07	01:00:59
23	Vittoria	Lopes	BRA	1996	47	00:09:13	00:01:11	00:32:10	00:00:25	00:18:02	01:01:00
24	Kira	Hedgeland	AUS	1998	30	00:09:24	00:01:13	00:32:39	00:00:26	00:17:26	01:01:06
25	Nina	Eim	GER	1998	29	00:09:44	00:01:14	00:32:50	00:00:24	00:17:02	01:01:12
26	Erika	Ackerlund	USA	1996	5	00:09:33	00:01:09	00:32:43	00:00:23	00:17:29	01:01:15
27	Carlotta	Missaglia	ITA	1999	50	00:09:56	00:01:08	00:32:43	00:00:21	00:17:16	01:01:21
28	Jaz	Hedgeland	AUS	1995	37	00:09:45	00:01:12	00:32:56	00:00:24	00:17:13	01:01:29
29	Kate	Waugh	GBR	1999	23	00:09:38	00:01:10	00:32:37	00:00:23	00:17:43	01:01:30
30	Lisa	Perterer	AUT	1991	46	00:10:00	00:01:13	00:32:35	00:00:22	00:17:23	01:01:31
31	Edda	Hannesdottir	ISL	1994	58	00:09:45	00:01:19	00:32:46	00:00:20	00:17:30	01:01:38
32	Jolien	Vermeylen	BEL	1994	57	00:09:14	00:01:12	00:33:02	00:00:23	00:17:53	01:01:43
33	Djenyfer	Arnold	BRA	1993	28	00:09:17	00:01:18	00:33:16	00:00:25	00:17:31	01:01:45
34	Julia	Hauser	AUT	1994	20	00:09:45	00:01:15	00:32:50	00:00:23	00:17:42	01:01:54
35	Emma	Jackson	AUS	1991	38	00:09:19	00:01:22	00:32:47	00:00:25	00:18:09	01:02:00
36	Yuko	Takahashi	JPN	1991	26	00:09:28	00:01:21	00:33:02	00:00:22	00:17:51	01:02:02
37	Simone	Ackermann	RSA	1990	43	00:09:18	00:01:08	00:33:02	00:00:24	00:18:19	01:02:08
38	Maria	Tomé	POR	2001	39	00:09:35	00:01:17	00:33:00	00:00:24	00:17:58	01:02:13
39	Sarika	Nakayama	JPN	2000	35	00:09:33	00:01:15	00:32:41	00:00:22	00:18:28	01:02:18
40	Sophie	Linn	AUS	1995	53	00:09:44	00:01:10	00:32:56	00:00:28	00:18:04	01:02:21
