POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Alex	Yee	GBR	1998	2	00:09:20	00:01:14	00:27:33	00:00:23	00:14:26	00:52:53
2	Vasco	Vilaca	POR	1999	8	00:09:17	00:01:14	00:27:35	00:00:22	00:14:32	00:52:59
3	Manoel	Messias	BRA	1996	12	00:09:40	00:01:14	00:27:15	00:00:27	00:14:32	00:53:06
4	Vincent	Luis	FRA	1989	5	00:08:57	00:01:15	00:27:54	00:00:22	00:14:45	00:53:11
5	Dorian	Coninx	FRA	1994	23	00:08:59	00:01:14	00:27:53	00:00:22	00:14:48	00:53:14
6	Léo	Bergere	FRA	1996	1	00:09:21	00:01:16	00:27:28	00:00:21	00:14:51	00:53:15
7	Roberto	Sanchez Mantecon	ESP	1996	18	00:09:26	00:01:16	00:27:23	00:00:23	00:14:52	00:53:18
8	Matthew	McElroy	USA	1992	17	00:09:31	00:01:13	00:27:23	00:00:22	00:14:52	00:53:19
9	Max	Studer	SUI	1996	54	00:09:32	00:01:16	00:27:22	00:00:21	00:14:51	00:53:20
10	Adrien	Briffod	SUI	1994	32	00:09:30	00:01:14	00:27:25	00:00:21	00:14:57	00:53:24
11	Antonio	Serrat Seoane	ESP	1995	7	00:09:22	00:01:16	00:27:32	00:00:24	00:14:57	00:53:28
12	Tyler	Mislawchuk	CAN	1994	36	00:09:15	00:01:14	00:27:38	00:00:22	00:15:05	00:53:32
13	Gábor	Faldum	HUN	1988	25	00:09:19	00:01:17	00:27:30	00:00:20	00:15:09	00:53:34
14	Richard	Murray	NED	1989	27	00:09:34	00:01:16	00:27:15	00:00:24	00:15:08	00:53:36
15	Barclay	Izzard	GBR	1998	52	00:09:29	00:01:14	00:27:26	00:00:19	00:15:11	00:53:37
16	Miguel	Hidalgo	BRA	2000	24	00:09:04	00:01:18	00:27:46	00:00:23	00:15:10	00:53:39
17	Sylvain	Fridelance	SUI	1995	20	00:09:22	00:01:16	00:27:32	00:00:23	00:15:10	00:53:41
18	Matthew	Hauser	AUS	1998	6	00:09:06	00:01:14	00:27:47	00:00:22	00:15:16	00:53:42
