POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Beth	Potter	GBR	1991	5	00:09:40	00:01:18	00:29:52	00:00:24	00:16:46	00:57:56
2	Sophie	Coldwell	GBR	1995	4	00:09:27	00:01:28	00:29:54	00:00:23	00:17:04	00:58:14
3	Taylor	Spivey	USA	1991	2	00:09:35	00:01:19	00:29:55	00:00:24	00:17:18	00:58:27
4	Summer	Rappaport	USA	1991	12	00:09:31	00:01:20	00:29:59	00:00:24	00:17:24	00:58:35
5	Lena	Meißner	GER	1998	10	00:09:33	00:01:21	00:29:56	00:00:24	00:17:29	00:58:39
6	Cassandre	Beaugrand	FRA	1997	3	00:09:52	00:01:23	00:30:23	00:00:26	00:16:38	00:58:39
7	Nina	Eim	GER	1998	23	00:10:16	00:01:18	00:30:00	00:00:23	00:16:51	00:58:45
8	Emma	Lombardi	FRA	2001	7	00:09:58	00:01:22	00:30:15	00:00:23	00:16:50	00:58:46
9	Verena	Steinhauser	ITA	1994	11	00:10:03	00:01:21	00:30:10	00:00:22	00:16:55	00:58:48
10	Lisa	Tertsch	GER	1998	20	00:10:18	00:01:17	00:29:59	00:00:24	00:16:59	00:58:53
11	Leonie	Periault	FRA	1994	17	00:09:58	00:01:23	00:30:18	00:00:26	00:16:55	00:58:57
12	Miriam	Casillas García	ESP	1992	6	00:10:20	00:01:21	00:29:55	00:00:22	00:17:04	00:58:58
13	Julia	Hauser	AUT	1994	22	00:10:01	00:01:25	00:30:11	00:00:28	00:16:59	00:59:01
14	Claire	Michel	BEL	1988	52	00:10:08	00:01:26	00:30:05	00:00:24	00:17:06	00:59:06
15	Georgia	Taylor-Brown	GBR	1994	1	00:09:58	00:01:25	00:30:13	00:00:25	00:17:10	00:59:08
16	Rosa Maria	Tapia Vidal	MEX	1997	39	00:09:59	00:01:24	00:30:15	00:00:28	00:17:05	00:59:08
17	Ainsley	Thorpe	NZL	1998	32	00:10:00	00:01:24	00:30:11	00:00:23	00:17:14	00:59:10
18	Marlene	Gomez-Göggel	GER	1993	14	00:10:02	00:01:29	00:30:05	00:00:25	00:17:14	00:59:11
19	Jaz	Hedgeland	AUS	1995	29	00:10:08	00:01:22	00:30:08	00:00:29	00:17:10	00:59:14
20	Lisa	Perterer	AUT	1991	43	00:10:05	00:01:23	00:30:09	00:00:28	00:17:15	00:59:18
21	Djenyfer	Arnold	BRA	1993	28	00:10:00	00:01:24	00:30:13	00:00:28	00:17:17	00:59:19
22	Jeanne	Lehair	LUX	1996	27	00:10:10	00:01:23	00:30:12	00:00:23	00:17:15	00:59:20
23	Anna	Godoy Contreras	ESP	1992	46	00:10:00	00:01:22	00:30:14	00:00:29	00:17:20	00:59:21
24	Marta	Pintanel Raymundo	ESP	1999	56	00:10:00	00:01:21	00:30:16	00:00:23	00:17:26	00:59:23
25	Kirsten	Kasper	USA	1991	8	00:09:53	00:01:20	00:30:21	00:00:24	00:17:32	00:59:28
26	Natalie	Van Coevorden	AUS	1992	16	00:10:01	00:01:26	00:30:09	00:00:25	00:17:30	00:59:28
27	Vittoria	Lopes	BRA	1996	15	00:09:29	00:01:26	00:29:55	00:00:25	00:18:17	00:59:28
28	Solveig	Løvseth	NOR	1999	42	00:10:11	00:01:26	00:29:59	00:00:29	00:17:33	00:59:36
29	Amelie	Kretz	CAN	1993	49	00:10:13	00:01:28	00:29:56	00:00:25	00:17:41	00:59:40
30	Melanie	Santos	POR	1995	30	00:10:01	00:01:24	00:30:11	00:00:26	00:17:49	00:59:48
31	Roksana	Slupek	POL	1999	45	00:10:01	00:01:26	00:30:09	00:00:25	00:17:59	00:59:56
32	Kate	Waugh	GBR	1999	21	00:10:00	00:01:24	00:30:12	00:00:24	00:18:03	00:59:59
33	Ilaria	Zane	ITA	1992	34	00:09:58	00:01:21	00:30:18	00:00:23	00:18:02	01:00:00
34	Paulina	Klimas	POL	1995	37	00:10:05	00:01:23	00:30:08	00:00:28	00:18:00	01:00:01
35	Emma	Jackson	AUS	1991	33	00:09:59	00:01:28	00:30:11	00:00:28	00:18:05	01:00:08
36	Charlotte	McShane	AUS	1990	35	00:10:07	00:01:24	00:30:06	00:00:26	00:18:19	01:00:18
37	Katie	Zaferes	USA	1989	61	00:10:07	00:01:27	00:30:06	00:00:33	00:18:10	01:00:21
38	Zsanett	Kuttor-Bragmayer	HUN	1994	25	00:09:44	00:01:21	00:30:32	00:00:25	00:18:31	01:00:30
39	Rachel	Klamer	NED	1990	24	00:10:01	00:01:27	00:30:12	00:00:28	00:18:34	01:00:38
40	Anabel	Knoll	GER	1996	9	00:09:57	00:01:21	00:30:28	00:00:23	00:18:38	01:00:43
41	Gina	Sereno	USA	1995	55	00:10:15	00:01:21	00:31:22	00:00:24	00:17:27	01:00:46
42	Noelia	Juan	ESP	1996	57	00:10:20	00:01:24	00:31:12	00:00:23	00:17:36	01:00:52
43	Yuko	Takahashi	JPN	1991	19	00:10:05	00:01:28	00:31:22	00:00:23	00:17:38	01:00:53
44	Maria	Tomé	POR	2001	36	00:10:19	00:01:25	00:31:13	00:00:25	00:17:36	01:00:57
45	Erica	Hawley	BER	1998	47	00:10:19	00:01:28	00:31:09	00:00:22	00:17:52	01:01:08
46	Nora	Gmür	SUI	2001	53	00:10:05	00:01:23	00:30:26	00:00:26	00:18:54	01:01:11
47	Emy	Legault	CAN	1996	18	00:10:06	00:01:22	00:31:28	00:00:24	00:17:58	01:01:15
48	Jolien	Vermeylen	BEL	1994	41	00:09:57	00:01:28	00:31:35	00:00:25	00:17:58	01:01:20
49	Petra	Kurikova	CZE	1991	38	00:10:05	00:01:25	00:31:30	00:00:29	00:17:58	01:01:23
50	Sara	Guerrero Manso	ESP	1997	60	00:10:08	00:01:24	00:31:26	00:00:25	00:18:05	01:01:24
