POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Matthew	Hauser	AUS	1998	4	00:08:02	00:01:42	00:29:10	00:00:32	00:14:23	00:53:47
2	Manoel	Messias	BRA	1996	10	00:08:32	00:01:40	00:28:44	00:00:36	00:14:29	00:53:58
3	Jelle	Geens	BEL	1993	8	00:08:29	00:01:44	00:28:40	00:00:34	00:14:38	00:54:02
4	Tim	Hellwig	GER	1999	49	00:08:06	00:01:42	00:29:04	00:00:35	00:14:37	00:54:03
5	Kristian	Blummenfelt	NOR	1994	5	00:08:36	00:01:44	00:28:32	00:00:36	00:14:40	00:54:05
6	Bence	Bicsák	HUN	1995	16	00:08:22	00:01:45	00:28:46	00:00:32	00:14:45	00:54:07
7	Charles	Paquet	CAN	1997	39	00:08:22	00:01:42	00:28:50	00:00:40	00:14:39	00:54:10
8	Roberto	Sanchez Mantecon	ESP	1996	7	00:08:38	00:01:40	00:28:33	00:00:31	00:14:53	00:54:15
9	Marten	Van Riel	BEL	1992	6	00:08:11	00:01:39	00:29:03	00:00:34	00:14:53	00:54:18
10	Kenji	Nener	JPN	1993	3	00:08:04	00:01:44	00:29:04	00:00:34	00:14:55	00:54:19
11	Jacob	Birtwhistle	AUS	1995	26	00:08:30	00:01:49	00:28:35	00:00:34	00:15:00	00:54:26
12	Jonas	Schomburg	GER	1994	2	00:08:09	00:01:45	00:29:00	00:00:33	00:15:06	00:54:30
13	Joao	Pereira	POR	1987	34	00:08:17	00:01:40	00:28:58	00:00:37	00:15:04	00:54:33
14	Dylan	McCullough	NZL	2001	18	00:08:23	00:01:49	00:28:43	00:00:34	00:15:09	00:54:36
15	Tyler	Mislawchuk	CAN	1994	9	00:08:21	00:01:43	00:28:51	00:00:38	00:15:08	00:54:39
16	Jawad	Abdelmoula	MAR	1994	44	00:08:30	00:01:49	00:28:34	00:00:38	00:15:15	00:54:43
17	Jonathan	Brownlee	GBR	1990	19	00:08:14	00:01:46	00:28:53	00:00:34	00:15:22	00:54:46
18	Jannik	Schaufler	GER	1997	31	00:08:18	00:01:46	00:28:51	00:00:35	00:15:23	00:54:52
19	Diego	Moya	CHI	1998	32	00:08:13	00:01:43	00:29:01	00:00:35	00:15:26	00:54:56
20	Tayler	Reid	NZL	1996	23	00:08:13	00:01:45	00:28:58	00:00:34	00:15:31	00:54:58
21	Brandon	Copeland	AUS	1996	28	00:08:15	00:01:41	00:28:58	00:00:34	00:15:35	00:55:00
22	Tjebbe	Kaindl	AUT	1999	51	00:08:29	00:01:41	00:28:47	00:00:33	00:15:34	00:55:01
23	Antonio	Serrat Seoane	ESP	1995	17	00:08:17	00:01:43	00:28:57	00:00:36	00:15:32	00:55:03
24	Takumi	Hojo	JPN	1996	24	00:08:13	00:01:46	00:28:53	00:00:34	00:15:43	00:55:07
25	Jumpei	Furuya	JPN	1991	33	00:08:32	00:01:39	00:28:43	00:00:35	00:15:48	00:55:15
26	Itamar	Eshed	ISR	2000	56	00:08:34	00:01:46	00:28:33	00:00:40	00:15:47	00:55:18
27	Gábor	Faldum	HUN	1988	25	00:08:16	00:01:46	00:28:52	00:00:35	00:15:58	00:55:24
28	Nicolò	Strada	ITA	2000	36	00:08:04	00:01:48	00:29:01	00:00:38	00:16:04	00:55:33
29	Miguel	Hidalgo	BRA	2000	14	00:08:17	00:01:51	00:28:49	00:00:37	00:16:11	00:55:43
30	Vasco	Vilaca	POR	1999	1	00:08:14	00:01:46	00:29:40	00:00:39	00:15:30	00:55:46
31	Alessio	Crociani	ITA	2001	43	00:08:14	00:01:50	00:29:55	00:00:32	00:15:22	00:55:50
32	Gustav	Iden	NOR	1996	35	00:08:37	00:01:46	00:28:32	00:00:36	00:16:26	00:55:55
33	David	Castro Fajardo	ESP	1993	12	00:08:10	00:01:40	00:30:26	00:00:38	00:15:16	00:56:09
34	Chase	McQueen	USA	1998	46	00:08:06	00:01:48	00:28:58	00:00:35	00:16:50	00:56:16
35	Nicola	Azzano	ITA	1997	38	00:08:12	00:01:45	00:30:00	00:00:32	00:15:55	00:56:23
36	Tamás	Tóth	HUN	1989	55	00:08:35	00:01:44	00:29:38	00:00:37	00:15:55	00:56:27
37	Martin	Sobey	CAN	1996	29	00:08:32	00:01:45	00:29:42	00:00:36	00:16:21	00:56:55
38	Irving	Perez	MEX	1986	45	00:08:34	00:01:45	00:30:15	00:00:37	00:15:50	00:56:59
39	Rodrigo	Gonzalez Lopez	MEX	1989	47	00:08:41	00:01:39	00:30:47	00:00:35	00:15:24	00:57:04
40	Callum	McClusky	AUS	1998	37	00:08:37	00:01:41	00:30:16	00:00:36	00:16:14	00:57:22
41	Jack	Willis	GBR	1997	41	00:08:29	00:01:47	00:30:18	00:00:37	00:16:17	00:57:27
42	Valentin	Wernz	GER	1995	11	00:08:23	00:01:46	00:30:24	00:00:35	00:16:26	00:57:32
43	Martin	Demuth	AUT	1995	53	00:08:09	00:01:46	00:30:38	00:00:37	00:16:26	00:57:34
44	Seth	Rider	USA	1997	21	00:08:12	00:01:48	00:28:52	00:00:36	00:18:18	00:57:44
45	Genis	Grau	ESP	1994	27	00:08:33	00:01:43	00:30:17	00:00:37	00:16:41	00:57:50
46	Kyle	Smith	NZL	1997	58	00:08:36	00:01:45	00:28:35	00:00:35	00:18:27	00:57:55
47	Aoba	Yasumatsu	JPN	1997	40	00:08:40	00:01:43	00:30:09	00:00:37	00:17:01	00:58:09
48	Jorge	Alarcon Familiar	MEX	1999	54	00:08:39	00:01:46	00:30:42	00:00:38	00:16:48	00:58:31
49	Antonio	Bravo Neto	BRA	1999	48	00:08:38	00:01:48	00:31:48	00:00:34	00:16:02	00:58:48
50	Junjie	Fan	CHN	2001	59	00:08:38	00:01:46	00:31:51	00:00:34	00:16:22	00:59:08
