POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Beth	Potter	GBR	1991	7	00:09:22	00:01:47	00:30:17	00:00:37	00:16:08	00:58:10
2	Leonie	Periault	FRA	1994	25	00:09:09	00:01:55	00:30:25	00:00:38	00:16:08	00:58:12
3	Summer	Rappaport	USA	1991	3	00:08:54	00:01:55	00:30:21	00:00:36	00:16:35	00:58:19
4	Jeanne	Lehair	LUX	1996	6	00:09:23	00:01:50	00:30:14	00:00:38	00:16:25	00:58:28
5	Katie	Zaferes	USA	1989	57	00:08:56	00:01:54	00:30:40	00:00:36	00:16:31	00:58:33
6	Taylor	Knibb	USA	1998	10	00:08:52	00:02:01	00:30:18	00:00:39	00:16:49	00:58:36
7	Georgia	Taylor-Brown	GBR	1994	2	00:09:00	00:01:51	00:30:34	00:00:39	00:16:44	00:58:45
8	Zsanett	Kuttor-Bragmayer	HUN	1994	18	00:09:04	00:01:51	00:30:28	00:00:32	00:16:53	00:58:46
9	Taylor	Spivey	USA	1991	1	00:08:59	00:01:52	00:30:35	00:00:36	00:16:51	00:58:51
10	Maria Carolina	Velasquez Soto	COL	1997	47	00:09:25	00:01:48	00:30:13	00:00:39	00:16:50	00:58:54
11	Laura	Lindemann	GER	1996	27	00:09:00	00:01:54	00:30:32	00:00:38	00:16:55	00:58:57
12	Cathia	Schär	SUI	2001	21	00:09:30	00:01:54	00:30:00	00:00:35	00:17:01	00:58:57
13	Sophie	Coldwell	GBR	1995	4	00:08:58	00:01:47	00:30:41	00:00:37	00:16:56	00:58:57
14	Rosa Maria	Tapia Vidal	MEX	1997	5	00:09:00	00:01:50	00:30:36	00:00:40	00:16:59	00:59:02
15	Kate	Waugh	GBR	1999	8	00:08:56	00:01:52	00:30:38	00:00:37	00:17:02	00:59:04
16	Noelia	Juan	ESP	1996	34	00:09:22	00:01:52	00:30:13	00:00:36	00:17:03	00:59:05
17	Dominika	Jamnicky	CAN	1992	48	00:09:25	00:01:47	00:30:13	00:00:36	00:17:07	00:59:06
18	Kirsten	Kasper	USA	1991	9	00:08:56	00:01:55	00:30:35	00:00:37	00:17:09	00:59:10
19	Lizeth	Rueda Santos	MEX	1994	26	00:08:57	00:01:56	00:30:33	00:00:37	00:17:11	00:59:11
20	Claire	Michel	BEL	1988	14	00:09:10	00:01:58	00:30:23	00:00:39	00:17:11	00:59:18
21	Erika	Ackerlund	USA	1996	20	00:09:23	00:01:53	00:30:11	00:00:37	00:17:21	00:59:24
22	Vittoria	Lopes	BRA	1996	22	00:08:48	00:02:02	00:30:36	00:00:39	00:17:27	00:59:30
23	Emma	Jackson	AUS	1991	41	00:08:58	00:01:58	00:30:33	00:00:41	00:17:31	00:59:39
24	Sophie	Linn	AUS	1995	42	00:09:02	00:01:55	00:30:30	00:00:40	00:17:37	00:59:43
25	Djenyfer	Arnold	BRA	1993	16	00:08:54	00:01:58	00:30:36	00:00:38	00:17:46	00:59:49
26	Marta	Pintanel Raymundo	ESP	1999	30	00:09:12	00:02:03	00:30:47	00:00:36	00:17:16	00:59:52
27	Yuko	Takahashi	JPN	1991	29	00:09:24	00:02:02	00:30:35	00:00:35	00:17:18	00:59:53
28	Melanie	Santos	POR	1995	23	00:09:02	00:01:52	00:30:34	00:00:38	00:18:06	01:00:10
29	Lena	Meißner	GER	1998	19	00:08:50	00:02:02	00:30:34	00:00:38	00:18:12	01:00:15
30	Ainsley	Thorpe	NZL	1998	17	00:09:11	00:01:56	00:30:56	00:00:37	00:17:38	01:00:16
31	Costanza	Arpinelli	ITA	2000	44	00:09:39	00:01:48	00:30:34	00:00:38	00:17:45	01:00:23
32	Natalie	Van Coevorden	AUS	1992	11	00:08:53	00:02:00	00:31:09	00:00:37	00:17:48	01:00:25
33	Annika	Koch	GER	1999	31	00:09:31	00:01:52	00:30:40	00:00:38	00:17:47	01:00:26
34	Brea	Roderick	NZL	2002	28	00:09:08	00:01:54	00:30:24	00:00:35	00:18:31	01:00:30
35	Yuka	Sato	JPN	1992	33	00:09:08	00:01:57	00:30:59	00:00:40	00:18:29	01:01:10
36	Tanja	Stroschneider	AUT	1990	43	00:09:30	00:01:55	00:30:38	00:00:42	00:18:29	01:01:12
37	Lotte	Miller	NOR	1996	55	00:09:27	00:02:02	00:30:33	00:00:42	00:18:41	01:01:23
38	Jaz	Hedgeland	AUS	1995	12	00:09:20	00:01:56	00:32:21	00:00:36	00:17:28	01:01:38
39	Cecilia	Perez	MEX	1991	46	00:09:19	00:02:05	00:32:13	00:00:37	00:17:46	01:01:57
40	Emy	Legault	CAN	1996	39	00:09:29	00:01:51	00:32:17	00:00:36	00:17:51	01:02:01
41	Carlotta	Missaglia	ITA	1999	36	00:09:27	00:01:55	00:30:40	00:00:35	00:19:34	01:02:08
42	Nicole	Van Der Kaay	NZL	1996	15	00:09:31	00:01:49	00:32:36	00:00:39	00:17:43	01:02:16
43	Chisato	Nakajima	JPN	2003	52	00:09:29	00:01:58	00:32:09	00:00:37	00:18:07	01:02:18
44	Shanae	Williams	RSA	1998	40	00:09:21	00:00:00	00:00:00	00:00:00	00:00:00	01:02:22
45	Anabel	Knoll	GER	1996	32	00:09:15	00:01:59	00:32:42	00:00:37	00:17:56	01:02:27
46	Karolina Helga	Horváth	HUN	2002	56	00:09:07	00:02:12	00:32:36	00:00:40	00:18:16	01:02:50
47	Kira	Hedgeland	AUS	1998	35	00:09:16	00:01:56	00:32:26	00:00:38	00:18:40	01:02:54
48	Luisa	Baptista	BRA	1994	38	00:09:27	00:01:57	00:32:13	00:00:39	00:18:42	01:02:56
49	Margot	Garabedian	CAM	1996	53	00:09:06	00:01:54	00:32:39	00:00:42	00:18:48	01:03:07
50	Rani	Skrabanja	NED	1998	50	00:09:27	00:02:07	00:32:22	00:00:37	00:18:49	01:03:20
