POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Pierre	Le Corre	FRA	1990	18	00:08:59	00:00:46	00:29:14	00:00:32	00:14:37	00:54:06
2	Léo	Bergere	FRA	1996	3	00:08:53	00:00:40	00:29:15	00:00:34	00:14:46	00:54:06
3	Hayden	Wilde	NZL	1997	2	00:09:02	00:00:39	00:29:18	00:00:30	00:14:55	00:54:21
4	Vasco	Vilaca	POR	1999	1	00:09:02	00:00:43	00:29:15	00:00:36	00:14:51	00:54:25
5	Richard	Murray	NED	1989	34	00:09:06	00:00:40	00:29:16	00:00:37	00:14:50	00:54:27
6	Henri	Schoeman	RSA	1991	15	00:09:02	00:00:46	00:29:13	00:00:34	00:14:56	00:54:28
7	Tom	Richard	FRA	1993	24	00:08:54	00:00:44	00:29:24	00:00:33	00:14:58	00:54:30
8	Barclay	Izzard	GBR	1998	29	00:09:01	00:00:38	00:29:22	00:00:33	00:15:01	00:54:32
9	Antonio	Serrat Seoane	ESP	1995	10	00:08:57	00:00:46	00:29:19	00:00:39	00:14:59	00:54:39
10	Ricardo	Batista	POR	2000	47	00:08:56	00:00:42	00:29:11	00:00:41	00:15:12	00:54:40
11	Valentin	Wernz	GER	1995	14	00:08:59	00:00:40	00:29:18	00:00:33	00:15:12	00:54:41
12	Dylan	McCullough	NZL	2001	16	00:08:56	00:00:41	00:29:21	00:00:35	00:15:14	00:54:44
13	Sergio	Baxter Cabrera	ESP	2000	52	00:08:58	00:00:49	00:29:12	00:00:34	00:15:17	00:54:48
14	Emil	Holm	DEN	1996	35	00:09:04	00:00:42	00:29:13	00:00:34	00:15:18	00:54:49
15	Kenji	Nener	JPN	1993	5	00:08:54	00:00:40	00:29:27	00:00:36	00:15:16	00:54:51
16	Vetle Bergsvik	Thorn	NOR	1999	22	00:09:01	00:00:45	00:29:17	00:00:36	00:15:18	00:54:55
17	Lasse	Lührs	GER	1996	17	00:08:58	00:00:41	00:29:19	00:00:35	00:15:24	00:54:56
18	Tayler	Reid	NZL	1996	12	00:08:57	00:00:39	00:29:13	00:00:36	00:15:37	00:54:59
19	Adrien	Briffod	SUI	1994	4	00:09:08	00:00:44	00:29:10	00:00:36	00:15:26	00:55:02
20	Jack	Willis	GBR	1997	45	00:09:00	00:00:42	00:29:18	00:00:33	00:15:34	00:55:04
21	Jonas	Schomburg	GER	1994	7	00:08:52	00:00:39	00:29:29	00:00:34	00:15:35	00:55:07
22	Ren	Sato	JPN	1995	41	00:09:00	00:00:42	00:29:21	00:00:36	00:15:34	00:55:12
23	Charles	Paquet	CAN	1997	20	00:08:59	00:00:43	00:29:19	00:00:38	00:15:36	00:55:13
24	Arnaud	Mengal	BEL	1997	31	00:09:05	00:00:45	00:29:15	00:00:38	00:15:37	00:55:19
25	Stefan	Zachäus	LUX	1990	59	00:09:05	00:00:42	00:29:15	00:00:35	00:15:51	00:55:25
26	Tjebbe	Kaindl	AUT	1999	43	00:08:55	00:00:40	00:29:27	00:00:39	00:15:54	00:55:33
27	Simon	Westermann	SUI	1998	36	00:08:59	00:00:43	00:29:18	00:00:33	00:16:04	00:55:36
28	Márk	Dévay	HUN	1996	23	00:08:52	00:00:42	00:29:26	00:00:36	00:16:05	00:55:39
29	Max	Studer	SUI	1996	11	00:09:07	00:00:46	00:30:01	00:00:35	00:15:16	00:55:43
30	Tyler	Smith	BER	1998	56	00:08:59	00:00:46	00:29:16	00:00:42	00:16:02	00:55:44
31	Max	Stapley	GBR	1999	55	00:08:53	00:00:45	00:29:23	00:00:35	00:16:24	00:55:59
32	Tim	Hellwig	GER	1999	9	00:09:05	00:00:47	00:29:06	00:00:35	00:16:46	00:56:16
33	Saxon	Morgan	NZL	2000	39	00:08:59	00:00:42	00:29:22	00:00:39	00:16:40	00:56:20
34	Casper	Stornes	NOR	1997	60	00:09:02	00:00:50	00:29:11	00:00:36	00:16:54	00:56:32
35	Brandon	Copeland	AUS	1996	28	00:09:04	00:00:40	00:29:20	00:00:35	00:16:59	00:56:37
36	Johannes	Vogel	GER	1996	27	00:08:55	00:00:45	00:29:24	00:00:38	00:17:11	00:56:51
37	Shachar	Sagiv	ISR	1994	40	00:09:12	00:00:38	00:31:16	00:00:36	00:15:28	00:57:07
38	Chase	McQueen	USA	1998	48	00:08:48	00:00:42	00:30:33	00:00:35	00:16:56	00:57:32
39	Luke	Willian	AUS	1996	25	00:09:05	00:00:52	00:31:12	00:00:38	00:16:06	00:57:50
40	Manoel	Messias	BRA	1996	6	00:09:17	00:00:40	00:31:49	00:00:35	00:15:36	00:57:55
41	Gábor	Faldum	HUN	1988	32	00:09:03	00:00:44	00:31:20	00:00:39	00:16:15	00:58:00
42	Brock	Hoel	CAN	2001	49	00:08:52	00:00:48	00:31:20	00:00:36	00:16:30	00:58:04
43	Darr	Smith	USA	1998	50	00:09:13	00:00:42	00:31:51	00:00:34	00:15:53	00:58:11
44	Antonio	Bravo Neto	BRA	1999	51	00:09:07	00:00:47	00:31:54	00:00:33	00:15:56	00:58:16
45	Alberto	Gonzalez Garcia	ESP	1998	44	00:08:57	00:01:12	00:31:35	00:00:32	00:16:11	00:58:25
46	Donald	Hillebregt	NED	1992	58	00:09:07	00:00:48	00:31:14	00:00:44	00:16:37	00:58:28
47	Sylvain	Fridelance	SUI	1995	21	00:09:00	00:00:41	00:30:50	00:00:37	00:17:46	00:58:52
48	Diego	Moya	CHI	1998	33	00:08:49	00:00:40	00:31:40	00:00:36	00:17:16	00:58:59
49	Mario	Mola	ESP	1990	46	00:09:08	00:00:41	00:31:59	00:00:36	00:16:42	00:59:04
50	Noah	Servais	BEL	1997	42	00:08:59	00:00:43	00:31:16	00:00:35	00:17:54	00:59:24
