POS	First Name	Last Name	Nation	YOB	Start No.	Swim	T1	Bike	T2	Run	Time
1	Matthew	Hauser	AUS	1998	4	00:09:04	00:00:30	00:26:31	00:00:20	00:13:40	00:50:03
2	Vasco	Vilaca	POR	1999	20	00:09:17	00:00:32	00:26:11	00:00:21	00:13:49	00:50:09
3	Pierre	Le Corre	FRA	1990	6	00:09:05	00:00:29	00:26:27	00:00:22	00:13:50	00:50:10
4	Jelle	Geens	BEL	1993	12	00:09:19	00:00:29	00:26:11	00:00:23	00:13:58	00:50:18
5	Casper	Stornes	NOR	1997	24	00:09:10	00:00:30	00:26:22	00:00:21	00:13:59	00:50:19
6	Vincent	Luis	FRA	1989	2	00:09:01	00:00:30	00:26:29	00:00:21	00:14:03	00:50:23
7	Alessio	Crociani	ITA	2001	28	00:09:01	00:00:29	00:26:28	00:00:20	00:14:12	00:50:28
8	Alberto	Gonzalez Garcia	ESP	1998	5	00:09:12	00:00:28	00:26:23	00:00:23	00:14:14	00:50:38
9	Max	Stapley	GBR	1999	37	00:09:03	00:00:32	00:26:27	00:00:24	00:14:15	00:50:39
10	Tom	Richard	FRA	1993	23	00:09:07	00:00:32	00:26:25	00:00:22	00:14:17	00:50:41
11	Luke	Willian	AUS	1996	1	00:09:08	00:00:28	00:26:29	00:00:22	00:14:23	00:50:49
12	Emil	Holm	DEN	1996	21	00:09:24	00:00:30	00:26:05	00:00:20	00:14:35	00:50:53
13	Tyler	Mislawchuk	CAN	1994	30	00:09:14	00:00:31	00:26:15	00:00:22	00:14:34	00:50:53
14	Mitch	Kolkman	NED	2002	60	00:09:21	00:00:28	00:26:13	00:00:19	00:14:38	00:50:57
15	Henry	Graf	GER	2002	46	00:09:18	00:00:32	00:26:07	00:00:23	00:14:41	00:50:59
16	John	Reed	USA	2001	33	00:09:13	00:00:31	00:26:22	00:00:25	00:14:34	00:51:03
17	Yanis	Seguin	FRA	2000	44	00:09:21	00:00:29	00:26:10	00:00:23	00:14:44	00:51:05
18	Tayler	Reid	NZL	1996	7	00:09:07	00:00:30	00:26:21	00:00:22	00:14:49	00:51:07
19	Gábor	Faldum	HUN	1988	8	00:09:16	00:00:31	00:26:14	00:00:22	00:14:47	00:51:08
20	Brandon	Copeland	AUS	1996	18	00:09:20	00:00:31	00:26:13	00:00:21	00:14:48	00:51:11
21	Sylvain	Fridelance	SUI	1995	59	00:09:17	00:00:32	00:26:11	00:00:23	00:14:52	00:51:13
22	Márk	Dévay	HUN	1996	11	00:09:00	00:00:32	00:26:30	00:00:21	00:14:58	00:51:19
23	Morgan	Pearson	USA	1993	3	00:09:18	00:00:28	00:27:22	00:00:23	00:13:53	00:51:22
24	Max	Studer	SUI	1996	40	00:09:25	00:00:32	00:27:12	00:00:20	00:14:00	00:51:26
25	Hugo	Milner	GBR	1998	9	00:09:13	00:00:30	00:27:26	00:00:23	00:14:00	00:51:29
26	Simon	Westermann	SUI	1998	29	00:09:20	00:00:34	00:26:08	00:00:23	00:15:11	00:51:33
27	Chase	McQueen	USA	1998	32	00:09:02	00:00:30	00:26:30	00:00:21	00:15:15	00:51:36
28	Lasse	Lührs	GER	1996	34	00:09:11	00:00:32	00:26:14	00:00:22	00:15:19	00:51:37
29	Saxon	Morgan	NZL	2000	49	00:09:17	00:00:30	00:26:19	00:00:23	00:15:14	00:51:40
30	Jan	Diener	GER	2002	48	00:09:06	00:00:29	00:26:23	00:00:21	00:15:37	00:51:53
31	Martin	Demuth	AUT	1995	61	00:09:20	00:00:32	00:26:13	00:00:24	00:15:36	00:52:03
32	Jawad	Abdelmoula	MAR	1994	22	00:09:26	00:00:31	00:27:12	00:00:22	00:14:38	00:52:07
33	James	Edgar	IRL	1998	42	00:09:25	00:00:32	00:27:17	00:00:21	00:14:38	00:52:12
34	Martin	Sobey	CAN	1996	14	00:09:21	00:00:31	00:27:18	00:00:23	00:14:40	00:52:12
35	Aoba	Yasumatsu	JPN	1997	25	00:09:26	00:00:31	00:27:14	00:00:23	00:14:52	00:52:24
36	Eric	Diener	GER	2000	57	00:09:23	00:00:32	00:27:15	00:00:23	00:14:53	00:52:24
37	Jannik	Schaufler	GER	1997	53	00:09:23	00:00:32	00:27:14	00:00:21	00:14:57	00:52:25
38	Ren	Sato	JPN	1995	41	00:09:15	00:00:32	00:27:23	00:00:21	00:14:56	00:52:25
39	Philip	Pertl	AUT	1998	50	00:09:32	00:00:28	00:27:08	00:00:20	00:15:01	00:52:27
40	Zsombor	Dévay	HUN	2000	56	00:09:25	00:00:33	00:27:12	00:00:24	00:14:58	00:52:29
41	Takumi	Hojo	JPN	1996	16	00:09:05	00:00:32	00:27:32	00:00:23	00:15:05	00:52:34
42	Nicola	Azzano	ITA	1997	17	00:09:20	00:00:32	00:27:17	00:00:23	00:15:24	00:52:54
43	Darr	Smith	USA	1998	15	00:09:12	00:00:31	00:27:26	00:00:23	00:15:32	00:53:02
44	João Nuno	Batista	POR	2005	52	00:09:22	00:00:31	00:28:24	00:00:24	00:14:31	00:53:10
45	Mathis	Beaulieu	CAN	2004	45	00:09:27	00:00:32	00:28:18	00:00:22	00:14:39	00:53:17
46	Vicente	Hernandez	ESP	1991	55	00:09:24	00:00:32	00:28:20	00:00:24	00:14:39	00:53:17
47	Yael Vladimir	González Melendez	MEX	2003	54	00:09:24	00:00:33	00:27:14	00:00:22	00:15:56	00:53:27
48	Makoto	Odakura	JPN	1993	19	00:09:19	00:00:30	00:28:29	00:00:25	00:15:00	00:53:41
49	Arnaud	Mengal	BEL	1997	47	00:09:27	00:00:31	00:28:20	00:00:23	00:15:11	00:53:50
50	Kauê	Willy	BRA	1996	51	00:09:28	00:00:34	00:28:14	00:00:23	00:15:17	00:53:54
